ibge7,municipio,uf,estabelecimentos_total,estabelecimentos_agricultura_familiar
2505709,Dona Inês,PB,1022,845
2505808,Duas Estradas,PB,251,192
2505907,Emas,PB,113,89
2506004,Esperança,PB,1697,1258
2506103,Fagundes,PB,1094,938
2506202,Frei Martinho,PB,250,162
2506251,Gado Bravo,PB,1292,1065
2506301,Guarabira,PB,995,623
2506400,Gurinhém,PB,1237,910
2506509,Gurjão,PB,245,158
2506608,Ibiara,PB,581,486
2506707,Imaculada,PB,1099,967
2506806,Ingá,PB,946,750
2506905,Itabaiana,PB,957,827
2507002,Itaporanga,PB,1231,838
2507101,Itapororoca,PB,1160,841
2507200,Itatuba,PB,837,605
2507309,Jacaraú,PB,834,699
2507408,Jericó,PB,466,400
2507507,João Pessoa,PB,150,91
2507606,Juarez Távora,PB,226,176
2507705,Juazeirinho,PB,1377,1008
2507804,Junco do Seridó,PB,432,304
2507903,Juripiranga,PB,171,107
2508000,Juru,PB,1136,1045
2508109,Lagoa,PB,296,213
2508208,Lagoa de Dentro,PB,665,559
2508307,Lagoa Seca,PB,2026,1332
2508406,Lastro,PB,256,183
2508505,Livramento,PB,848,701
2508554,Logradouro,PB,267,238
2508604,Lucena,PB,191,144
2508703,Mãe d'Água,PB,544,438
2508802,Malta,PB,150,91
2508901,Mamanguape,PB,1093,694
2509008,Manaíra,PB,1280,1004
2509057,Marcação,PB,473,373
2509107,Mari,PB,727,615
2509156,Marizópolis,PB,218,158
2509206,Massaranduba,PB,1858,1093
2509305,Mataraca,PB,73,51
2509339,Matinhas,PB,937,697
2509370,Mato Grosso,PB,134,111
2509396,Maturéia,PB,420,390
2509404,Mogeiro,PB,1024,748
2509503,Montadas,PB,502,421
2509602,Monte Horebe,PB,493,399
2509701,Monteiro,PB,3203,2347
2509800,Mulungu,PB,826,548
2509909,Natuba,PB,871,824
2510006,Nazarezinho,PB,603,550
2510105,Nova Floresta,PB,354,251
2510204,Nova Olinda,PB,420,359
2510303,Nova Palmeira,PB,542,368
2510402,Olho d'Água,PB,654,513
2510501,Olivedos,PB,550,357
2510600,Ouro Velho,PB,321,262
2510659,Parari,PB,359,232
2510709,Passagem,PB,99,74
2510808,Patos,PB,497,330
2510907,Paulista,PB,815,601
2511004,Pedra Branca,PB,493,285
2511103,Pedra Lavrada,PB,1194,811
2511202,Pedras de Fogo,PB,1824,1496
2511301,Piancó,PB,892,788
2511400,Picuí,PB,1209,981
2511509,Pilar,PB,599,418
2511608,Pilões,PB,530,490
2511707,Pilõezinhos,PB,588,538
2511806,Pirpirituba,PB,436,254
2511905,Pitimbu,PB,984,847
2512002,Pocinhos,PB,1782,1117
2512036,Poço Dantas,PB,319,271
2512077,Poço de José de Moura,PB,498,393
2512101,Pombal,PB,1334,1021
2512200,Prata,PB,334,278
2512309,Princesa Isabel,PB,1146,981
2512408,Puxinanã,PB,1063,820
2512507,Queimadas,PB,3401,2108
2512606,Quixaba,PB,136,87
2512705,Remígio,PB,875,729
2512721,Pedro Régis,PB,591,456
2512747,Riachão,PB,309,239
2512754,Riachão do Bacamarte,PB,316,216
2512762,Riachão do Poço,PB,400,298
2512788,Riacho de Santo Antônio,PB,51,22
2512804,Riacho dos Cavalos,PB,604,508
2512903,Rio Tinto,PB,1123,813
2513000,Salgadinho,PB,338,293
2513109,Salgado de São Félix,PB,1372,1151
2513158,Santa Cecília,PB,1048,752
2513208,Santa Cruz,PB,497,413
2513307,Santa Helena,PB,446,365
2513356,Santa Inês,PB,403,303
2513406,Santa Luzia,PB,383,315
2513505,Santana de Mangueira,PB,696,627
2513604,Santana dos Garrotes,PB,703,643
2513653,Joca Claudino,PB,176,148
2513703,Santa Rita,PB,612,320
2513802,Santa Teresinha,PB,339,212
2513851,Santo André,PB,396,312
2513901,São Bento,PB,261,187
2513927,São Bentinho,PB,264,207
2513943,São Domingos do Cariri,PB,332,243
2513968,São Domingos,PB,283,169
2513984,São Francisco,PB,292,262
2514008,São João do Cariri,PB,487,308
2514107,São João do Tigre,PB,587,402
2514206,São José da Lagoa Tapada,PB,796,637
2514305,São José de Caiana,PB,545,400
2514404,São José de Espinharas,PB,458,342
2514453,São José dos Ramos,PB,481,424
2514503,São José de Piranhas,PB,1671,1363
2514552,São José de Princesa,PB,718,579
2514602,São José do Bonfim,PB,168,141
2514651,São José do Brejo do Cruz,PB,90,49
2514701,São José do Sabugi,PB,296,254
2514800,São José dos Cordeiros,PB,541,415
2514909,São Mamede,PB,569,387
2515005,São Miguel de Taipu,PB,674,606
2515104,São Sebastião de Lagoa de Roça,PB,1376,1022
2515203,São Sebastião do Umbuzeiro,PB,347,280
2515302,Sapé,PB,1651,1328
2515401,São Vicente do Seridó,PB,1155,845
2515500,Serra Branca,PB,951,743
2515609,Serra da Raiz,PB,299,204
2515708,Serra Grande,PB,430,326
2515807,Serra Redonda,PB,888,617
2515906,Serraria,PB,579,463
2515930,Sertãozinho,PB,338,243
2515971,Sobrado,PB,1011,792
2516003,Solânea,PB,1645,1277
2516102,Soledade,PB,960,680
2516151,Sossêgo,PB,353,290
2516201,Sousa,PB,1726,1375
2516300,Sumé,PB,905,702
2516409,Tacima,PB,674,576
2516508,Taperoá,PB,1033,825
2516607,Tavares,PB,1391,1160
2516706,Teixeira,PB,1272,1018
2516755,Tenório,PB,260,159
2516805,Triunfo,PB,620,534
2516904,Uiraúna,PB,696,584
2517001,Umbuzeiro,PB,886,799
2517100,Várzea,PB,227,182
2517209,Vieirópolis,PB,528,459
2517407,Zabelê,PB,266,214
2600054,Abreu e Lima,PE,408,229
2600104,Afogados da Ingazeira,PE,1882,1697
2600203,Afrânio,PE,3460,2465
2600302,Agrestina,PE,1077,869
2600401,Água Preta,PE,1234,980
2600500,Águas Belas,PE,3060,2605
2600609,Alagoinha,PE,1247,1017
2600708,Aliança,PE,804,699
2600807,Altinho,PE,2851,2396
2600906,Amaraji,PE,1839,1602
2601003,Angelim,PE,708,622
2601052,Araçoiaba,PE,57,46
2601102,Araripina,PE,7375,5939
2601201,Arcoverde,PE,737,696
2601300,Barra de Guabiraba,PE,375,338
2601409,Barreiros,PE,676,546
2601508,Belém de Maria,PE,894,578
2601607,Belém do São Francisco,PE,1620,1365
2601706,Belo Jardim,PE,1502,1057
2601805,Betânia,PE,1808,1693
2601904,Bezerros,PE,1750,1272
2602001,Bodocó,PE,3568,3329
2602100,Bom Conselho,PE,2710,2383
2602209,Bom Jardim,PE,3832,3141
2602308,Bonito,PE,1679,1412
2602407,Brejão,PE,1005,768
2602506,Brejinho,PE,837,729
2602605,Brejo da Madre de Deus,PE,1442,990
2602704,Buenos Aires,PE,419,354
2602803,Buíque,PE,5652,4962
2602902,Cabo de Santo Agostinho,PE,1873,1558
2603009,Cabrobó,PE,1466,1202
2603108,Cachoeirinha,PE,865,779
2603207,Caetés,PE,4463,3724
2603306,Calçado,PE,1908,1692
2603405,Calumbi,PE,613,533
2603454,Camaragibe,PE,12,4
2603504,Camocim de São Félix,PE,322,307
2603603,Camutanga,PE,230,202
2603702,Canhotinho,PE,2180,1667
2603801,Capoeiras,PE,2706,2397
2603900,Carnaíba,PE,2647,2428
2603926,Carnaubeira da Penha,PE,2098,1541
2604007,Carpina,PE,398,332
2604106,Caruaru,PE,1406,1064
2604155,Casinhas,PE,1903,1675
2604205,Catende,PE,892,724
2604304,Cedro,PE,637,567
2604403,Chã de Alegria,PE,321,301
2604502,Chã Grande,PE,1502,984
2604601,Condado,PE,232,165
2604700,Correntes,PE,1291,1081
2604809,Cortês,PE,341,332
2604908,Cumaru,PE,2407,1978
2605004,Cupira,PE,557,446
2605103,Custódia,PE,3789,3328
2605152,Dormentes,PE,3037,2065
2605202,Escada,PE,613,439
2605301,Exu,PE,2597,2325
2605400,Feira Nova,PE,771,716
2605459,Fernando de Noronha,PE,14,6
2605509,Ferreiros,PE,430,185
2605608,Flores,PE,3373,2987
2605707,Floresta,PE,2033,1368
2605806,Frei Miguelinho,PE,1336,1095
2605905,Gameleira,PE,571,490
2606002,Garanhuns,PE,3055,2403
2606101,Glória do Goitá,PE,2347,2117
2606200,Goiana,PE,1546,1454
2606309,Granito,PE,553,472
2606408,Gravatá,PE,1897,1662
2606507,Iati,PE,1832,1639
2606606,Ibimirim,PE,1741,1500
2606705,Ibirajuba,PE,1029,918
2606804,Igarassu,PE,559,488
2606903,Iguaracy,PE,1598,1439
2607000,Inajá,PE,2023,1642
2607109,Ingazeira,PE,626,571
2607208,Ipojuca,PE,1489,1411
2607307,Ipubi,PE,1941,1783
2607406,Itacuruba,PE,297,279
2607505,Itaíba,PE,4232,3608
2607604,Ilha de Itamaracá,PE,95,59
2607653,Itambé,PE,745,475
2607703,Itapetim,PE,1468,1402
2607752,Itapissuma,PE,101,96
2607802,Itaquitinga,PE,746,429
2607901,Jaboatão dos Guararapes,PE,605,453
2607950,Jaqueira,PE,516,491
2608008,Jataúba,PE,1094,893
2608057,Jatobá,PE,853,553
2608107,João Alfredo,PE,2749,2156
2608206,Joaquim Nabuco,PE,404,350
2608255,Jucati,PE,1780,1594
2608305,Jupi,PE,1476,1251
2608404,Jurema,PE,1425,1142
2608453,Lagoa do Carro,PE,659,557
2608503,Lagoa de Itaenga,PE,709,549
2608602,Lagoa do Ouro,PE,1609,1423
2608701,Lagoa dos Gatos,PE,2262,1873
2608750,Lagoa Grande,PE,1412,903
2608800,Lajedo,PE,1531,1268
2608909,Limoeiro,PE,1721,1486
2609006,Macaparana,PE,848,523
2609105,Machados,PE,575,515
2609154,Manari,PE,2877,2706
2609204,Maraial,PE,355,262
2609303,Mirandiba,PE,988,844
2609402,Moreno,PE,795,713
2609501,Nazaré da Mata,PE,389,351
2609600,Olinda,PE,84,55
2609709,Orobó,PE,2229,1846
2609808,Orocó,PE,1535,1294
2609907,Ouricuri,PE,5143,4545
2610004,Palmares,PE,540,516
2610103,Palmeirina,PE,737,636
2610202,Panelas,PE,2440,2071
2610301,Paranatama,PE,2031,1818
2610400,Parnamirim,PE,1917,1461
2610509,Passira,PE,2273,1801
2610608,Paudalho,PE,898,685
2610707,Paulista,PE,165,153
2610806,Pedra,PE,1834,1522
2610905,Pesqueira,PE,2600,2299
2611002,Petrolândia,PE,1579,1183
2611101,Petrolina,PE,7018,4509
2611200,Poção,PE,895,847
2611309,Pombos,PE,2108,1870
2611408,Primavera,PE,617,555
2611507,Quipapá,PE,1670,1600
2611533,Quixaba,PE,1356,1198
2611606,Recife,PE,242,122
2611705,Riacho das Almas,PE,1419,1264
2611804,Ribeirão,PE,312,278
2611903,Rio Formoso,PE,881,712
2612000,Sairé,PE,1235,1156
2612109,Salgadinho,PE,770,661
2612208,Salgueiro,PE,1988,1397
2612307,Saloá,PE,1469,1295
2612406,Sanharó,PE,873,745
2612455,Santa Cruz,PE,1937,1836
2612471,Santa Cruz da Baixa Verde,PE,1127,968
2612505,Santa Cruz do Capibaribe,PE,435,256
2612554,Santa Filomena,PE,2030,1505
2612604,Santa Maria da Boa Vista,PE,4359,3682
2612703,Santa Maria do Cambucá,PE,1740,1158
2612802,Santa Terezinha,PE,813,630
2612901,São Benedito do Sul,PE,557,510
2613008,São Bento do Una,PE,4101,3713
2613107,São Caitano,PE,1684,1521
2613206,São João,PE,2749,2259
2613305,São Joaquim do Monte,PE,1141,1091
2613404,São José da Coroa Grande,PE,326,244
2613503,São José do Belmonte,PE,2975,2371
2613602,São José do Egito,PE,2765,2565
2613701,São Lourenço da Mata,PE,727,635
2613800,São Vicente Férrer,PE,478,345
2613909,Serra Talhada,PE,4229,3469
2614006,Serrita,PE,2223,1945
2614105,Sertânia,PE,3589,2617
2614204,Sirinhaém,PE,718,535
2614303,Moreilândia,PE,779,681
2614402,Solidão,PE,807,751
2614501,Surubim,PE,2442,2049
2614600,Tabira,PE,1741,1587
2614709,Tacaimbó,PE,571,517
2614808,Tacaratu,PE,3061,2137
2614857,Tamandaré,PE,571,369
2615003,Taquaritinga do Norte,PE,1584,1093
2615102,Terezinha,PE,850,714
2615201,Terra Nova,PE,457,369
2615300,Timbaúba,PE,706,605
2615409,Toritama,PE,33,20
2615508,Tracunhaém,PE,242,222
2615607,Trindade,PE,1196,895
2615706,Triunfo,PE,1687,1121
2615805,Tupanatinga,PE,2635,2301
2615904,Tuparetama,PE,373,328
2616001,Venturosa,PE,1134,983
2616100,Verdejante,PE,1243,905
2616183,Vertente do Lério,PE,610,483
2616209,Vertentes,PE,790,528
2616308,Vicência,PE,768,398
2616407,Vitória de Santo Antão,PE,1834,1348
2616506,Xexéu,PE,119,89
2700102,Água Branca,AL,2122,1689
2700201,Anadia,AL,270,177
2700300,Arapiraca,AL,2930,2372
2700409,Atalaia,AL,440,308
2700508,Barra de Santo Antônio,AL,15,4
2700607,Barra de São Miguel,AL,15,9
2700706,Batalha,AL,735,628
2700805,Belém,AL,232,178
2700904,Belo Monte,AL,498,481
2701001,Boca da Mata,AL,210,138
2701100,Branquinha,AL,543,319
2701209,Cacimbinhas,AL,774,614
2701308,Cajueiro,AL,163,127
2701357,Campestre,AL,124,112
2701407,Campo Alegre,AL,337,201
2701506,Campo Grande,AL,1302,1258
2701605,Canapi,AL,1692,1456
2701704,Capela,AL,252,165
2701803,Carneiros,AL,616,511
2701902,Chã Preta,AL,420,345
2702009,Coité do Nóia,AL,1712,1392
2702108,Colônia Leopoldina,AL,354,288
2702207,Coqueiro Seco,AL,41,19
2702306,Coruripe,AL,700,561
2702355,Craíbas,AL,2932,2654
2702405,Delmiro Gouveia,AL,973,704
2702504,Dois Riachos,AL,1156,946
2702553,Estrela de Alagoas,AL,2676,2331
2702603,Feira Grande,AL,3275,2616
2702702,Feliz Deserto,AL,263,163
2702801,Flexeiras,AL,558,456
2702900,Girau do Ponciano,AL,4141,3785
2703007,Ibateguara,AL,419,358
2703106,Igaci,AL,2946,2600
2703205,Igreja Nova,AL,1414,1195
2703304,Inhapi,AL,1745,1366
2703403,Jacaré dos Homens,AL,538,424
2703502,Jacuípe,AL,444,400
2703601,Japaratinga,AL,158,100
2703700,Jaramataia,AL,401,289
2703759,Jequiá da Praia,AL,224,200
2703809,Joaquim Gomes,AL,751,643
2703908,Jundiá,AL,215,195
2704005,Junqueiro,AL,1563,1289
2704104,Lagoa da Canoa,AL,1583,1408
2704203,Limoeiro de Anadia,AL,1985,1668
2704302,Maceió,AL,44,17
2704401,Major Isidoro,AL,1985,1735
2704500,Maragogi,AL,1180,1030
2704609,Maravilha,AL,982,834
2704708,Marechal Deodoro,AL,101,48
2704807,Maribondo,AL,290,218
2704906,Mar Vermelho,AL,341,236
2705002,Mata Grande,AL,3260,2724
2705101,Matriz de Camaragibe,AL,312,267
2705200,Messias,AL,258,171
2705309,Minador do Negrão,AL,793,646
2705408,Monteirópolis,AL,316,298
2705507,Murici,AL,594,401
2705606,Novo Lino,AL,281,241
2705705,Olho d'Água das Flores,AL,1440,1296
2705804,Olho d'Água do Casado,AL,722,665
2705903,Olho d'Água Grande,AL,898,808
2706000,Olivença,AL,1593,1327
2706109,Ouro Branco,AL,835,682
2706208,Palestina,AL,120,88
2706307,Palmeira dos Índios,AL,3492,2689
2706406,Pão de Açúcar,AL,1539,1341
2706422,Pariconha,AL,757,677
2706448,Paripueira,AL,84,50
2706505,Passo de Camaragibe,AL,123,87
2706604,Paulo Jacinto,AL,337,251
2706703,Penedo,AL,1445,1151
2706802,Piaçabuçu,AL,206,133
2706901,Pilar,AL,145,68
2707008,Pindoba,AL,325,248
2707107,Piranhas,AL,1074,942
2707206,Poço das Trincheiras,AL,1486,1282
2707305,Porto Calvo,AL,416,345
2707404,Porto de Pedras,AL,241,172
2707503,Porto Real do Colégio,AL,1209,1144
2707602,Quebrangulo,AL,800,691
2707701,Rio Largo,AL,73,44
2707800,Roteiro,AL,78,55
2707909,Santa Luzia do Norte,AL,19,3
2708006,Santana do Ipanema,AL,2351,1923
2708105,Santana do Mundaú,AL,1679,1202
2708204,São Brás,AL,467,428
2708303,São José da Laje,AL,356,203
2708402,São José da Tapera,AL,2468,2252
2708501,São Luís do Quitunde,AL,883,794
2708600,São Miguel dos Campos,AL,148,76
2708709,São Miguel dos Milagres,AL,111,81
2708808,São Sebastião,AL,2625,2255
2708907,Satuba,AL,23,11
2708956,Senador Rui Palmeira,AL,1558,1397
2709004,Tanque d'Arca,AL,460,311
2709103,Taquarana,AL,2183,1793
2709152,Teotônio Vilela,AL,529,404
2709202,Traipu,AL,3163,2961
2709301,União dos Palmares,AL,1650,1388
2709400,Viçosa,AL,837,643
2800100,Amparo do São Francisco,SE,44,23
2800209,Aquidabã,SE,1516,1225
2800308,Aracaju,SE,114,72
2800407,Arauá,SE,983,706
2800506,Areia Branca,SE,873,670
2800605,Barra dos Coqueiros,SE,266,222
2800670,Boquim,SE,2555,2094
2800704,Brejo Grande,SE,459,312
2801009,Campo do Brito,SE,1156,920
2801108,Canhoba,SE,456,314
2801207,Canindé de São Francisco,SE,1229,1107
2801306,Capela,SE,1511,980
2801405,Carira,SE,1883,1337
2801504,Carmópolis,SE,118,69
2801603,Cedro de São João,SE,358,171
2801702,Cristinápolis,SE,1243,951
2801900,Cumbe,SE,439,223
2802007,Divina Pastora,SE,165,126
2802106,Estância,SE,1844,1282
2802205,Feira Nova,SE,562,355
2802304,Frei Paulo,SE,917,574
2802403,Gararu,SE,2253,1996
2802502,General Maynard,SE,183,136
2802601,Graccho Cardoso,SE,942,727
2802700,Ilha das Flores,SE,331,274
2802809,Indiaroba,SE,1794,1375
2802908,Itabaiana,SE,3262,2764
2803005,Itabaianinha,SE,3591,2380
2803104,Itabi,SE,727,631
2803203,Itaporanga d'Ajuda,SE,1780,1207
2803302,Japaratuba,SE,859,637
2803401,Japoatã,SE,983,835
2803500,Lagarto,SE,6909,4742
2803609,Laranjeiras,SE,263,190
2803708,Macambira,SE,492,407
2803807,Malhada dos Bois,SE,171,138
2803906,Malhador,SE,1189,1032
2804003,Maruim,SE,94,56
2804102,Moita Bonita,SE,2205,1703
2804201,Monte Alegre de Sergipe,SE,1162,1022
2804300,Muribeca,SE,331,232
2804409,Neópolis,SE,976,852
2804458,Nossa Senhora Aparecida,SE,2011,1689
2804508,Nossa Senhora da Glória,SE,2992,2526
2804607,Nossa Senhora das Dores,SE,1415,862
2804706,Nossa Senhora de Lourdes,SE,396,335
2804805,Nossa Senhora do Socorro,SE,331,149
2804904,Pacatuba,SE,1305,1047
2805000,Pedra Mole,SE,293,220
2805109,Pedrinhas,SE,592,508
2805208,Pinhão,SE,478,334
2805307,Pirambu,SE,675,398
2805406,Poço Redondo,SE,4077,3798
2805505,Poço Verde,SE,2105,1893
2805604,Porto da Folha,SE,2647,2293
2805703,Propriá,SE,637,492
2805802,Riachão do Dantas,SE,3594,2930
2805901,Riachuelo,SE,256,185
2806008,Ribeirópolis,SE,1847,1395
2806107,Rosário do Catete,SE,160,101
2806206,Salgado,SE,2075,1328
2806305,Santa Luzia do Itanhy,SE,1172,829
2806404,Santana do São Francisco,SE,60,47
2806503,Santa Rosa de Lima,SE,465,379
2806602,Santo Amaro das Brotas,SE,734,586
2806701,São Cristóvão,SE,946,601
2806800,São Domingos,SE,1509,1075
2806909,São Francisco,SE,165,128
2807006,São Miguel do Aleixo,SE,561,357
2807105,Simão Dias,SE,3491,2983
2807204,Siriri,SE,492,297
2807303,Telha,SE,137,79
2807402,Tobias Barreto,SE,3545,2893
2807501,Tomar do Geru,SE,1832,1389
2807600,Umbaúba,SE,1092,865
2900108,Abaíra,BA,919,820
2900207,Abaré,BA,1885,1700
2900306,Acajutiba,BA,1337,1203
2900355,Adustina,BA,3249,2744
2900405,Água Fria,BA,2165,1705
2900504,Érico Cardoso,BA,1989,1773
2900603,Aiquara,BA,329,202
2900702,Alagoinhas,BA,2546,2113
2900801,Alcobaça,BA,1246,1072
2900900,Almadina,BA,197,107
2901007,Amargosa,BA,2727,2232
2901106,Amélia Rodrigues,BA,323,232
2901155,América Dourada,BA,1301,989
2901205,Anagé,BA,2475,2065
2901304,Andaraí,BA,954,696
2901353,Andorinha,BA,2401,1799
2901403,Angical,BA,1292,991
2901502,Anguera,BA,839,641
2901601,Antas,BA,1823,1245
2901700,Antônio Cardoso,BA,2064,1336
2901809,Antônio Gonçalves,BA,843,670
2901908,Aporá,BA,2633,2090
2901957,Apuarema,BA,416,331
2902005,Aracatu,BA,3017,2159
2902054,Araçás,BA,851,685
2902104,Araci,BA,4779,3635
2902203,Aramari,BA,771,688
2902252,Arataca,BA,768,597
2902302,Aratuípe,BA,914,721
2902401,Aurelino Leal,BA,378,245
2902500,Baianópolis,BA,2130,1578
2902609,Baixa Grande,BA,2642,1951
2902658,Banzaê,BA,1754,1590
2902708,Barra,BA,2904,2612
2902807,Barra da Estiva,BA,3774,2566
2902906,Barra do Choça,BA,1996,1217
2903003,Barra do Mendes,BA,1995,1431
2903102,Barra do Rocha,BA,461,296
2903201,Barreiras,BA,2192,1204
2903235,Barro Alto,BA,1866,1455
2903276,Barrocas,BA,1589,1091
2903300,Barro Preto,BA,393,257
2903409,Belmonte,BA,1397,1113
2903508,Belo Campo,BA,1272,1153
2903607,Biritinga,BA,2577,2018
2903706,Boa Nova,BA,2080,1906
2903805,Boa Vista do Tupim,BA,2536,1901
2903904,Bom Jesus da Lapa,BA,3721,3045
2903953,Bom Jesus da Serra,BA,1570,1433
2904001,Boninal,BA,1114,882
2904050,Bonito,BA,1678,1212
2904100,Boquira,BA,3082,2603
2904209,Botuporã,BA,2223,1634
2904308,Brejões,BA,1428,930
2904407,Brejolândia,BA,1410,1047
2904506,Brotas de Macaúbas,BA,1640,1579
2904605,Brumado,BA,4600,3315
2904704,Buerarema,BA,571,416
2904753,Buritirama,BA,2211,2073
2904803,Caatiba,BA,679,497
2904852,Cabaceiras do Paraguaçu,BA,3118,2484
2904902,Cachoeira,BA,1989,1608
2905008,Caculé,BA,2499,1708
2905107,Caém,BA,1035,849
2905156,Caetanos,BA,1873,1511
2905206,Caetité,BA,4555,3609
2905305,Cafarnaum,BA,2227,1651
2905404,Cairu,BA,26,17
2905503,Caldeirão Grande,BA,1597,1458
2905602,Camacan,BA,747,610
2905701,Camaçari,BA,1175,730
2905800,Camamu,BA,2692,2228
2905909,Campo Alegre de Lourdes,BA,5260,4693
2906006,Campo Formoso,BA,5840,4842
2906105,Canápolis,BA,1601,1308
2906204,Canarana,BA,2588,1947
2906303,Canavieiras,BA,1560,1169
2906402,Candeal,BA,891,662
2906501,Candeias,BA,454,349
2906600,Candiba,BA,1917,1537
2906709,Cândido Sales,BA,1310,883
2906808,Cansanção,BA,3579,2937
2906824,Canudos,BA,1741,1365
2906857,Capela do Alto Alegre,BA,1237,922
2906873,Capim Grosso,BA,1087,839
2906899,Caraíbas,BA,1710,1266
2906907,Caravelas,BA,1005,752
2907004,Cardeal da Silva,BA,171,110
2907103,Carinhanha,BA,2550,2159
2907202,Casa Nova,BA,7509,5729
2907301,Castro Alves,BA,1662,1547
2907400,Catolândia,BA,515,396
2907509,Catu,BA,989,713
2907558,Caturama,BA,1797,1547
2907608,Central,BA,1994,1539
2907707,Chorrochó,BA,1172,1124
2907806,Cícero Dantas,BA,4711,3791
2907905,Cipó,BA,1213,937
2908002,Coaraci,BA,362,252
2908101,Cocos,BA,1657,1392
2908200,Conceição da Feira,BA,807,606
2908309,Conceição do Almeida,BA,1315,1072
2908408,Conceição do Coité,BA,5603,4282
2908507,Conceição do Jacuípe,BA,483,385
2908606,Conde,BA,2195,1276
2908705,Condeúba,BA,2730,2217
2908804,Contendas do Sincorá,BA,347,276
2908903,Coração de Maria,BA,2583,2081
2909000,Cordeiros,BA,1371,1126
2909109,Coribe,BA,1834,1646
2909208,Coronel João Sá,BA,2222,1554
2909307,Correntina,BA,3408,2648
2909406,Cotegipe,BA,1913,1444
2909505,Cravolândia,BA,221,195
2909604,Crisópolis,BA,4237,3627
2909703,Cristópolis,BA,1274,1108
2909802,Cruz das Almas,BA,1436,1255
2909901,Curaçá,BA,4655,3602
2910008,Dário Meira,BA,936,624
2910057,Dias d'Ávila,BA,194,119
2910107,Dom Basílio,BA,2053,1833
2910206,Dom Macedo Costa,BA,507,357
2910305,Elísio Medrado,BA,1266,922
2910404,Encruzilhada,BA,1871,1373
2910503,Entre Rios,BA,620,369
2910602,Esplanada,BA,2493,1616
2910701,Euclides da Cunha,BA,5686,4726
2910727,Eunápolis,BA,954,727
2910750,Fátima,BA,2480,2045
2910776,Feira da Mata,BA,1184,881
2910800,Feira de Santana,BA,9191,5693
2910859,Filadélfia,BA,1680,1376
2910909,Firmino Alves,BA,207,151
2911006,Floresta Azul,BA,410,303
2911105,Formosa do Rio Preto,BA,1352,919
2911204,Gandu,BA,1227,988
2911253,Gavião,BA,592,496
2911303,Gentio do Ouro,BA,871,796
2911402,Glória,BA,1498,1296
2911501,Gongogi,BA,251,173
2911600,Governador Mangabeira,BA,2144,1626
2911659,Guajeru,BA,1867,1538
2911709,Guanambi,BA,4417,3559
2911808,Guaratinga,BA,2121,1649
2911857,Heliópolis,BA,2036,1759
2911907,Iaçu,BA,1675,938
2912004,Ibiassucê,BA,1629,1260
2912103,Ibicaraí,BA,264,157
2912202,Ibicoara,BA,1722,985
2912301,Ibicuí,BA,1061,646
2912400,Ibipeba,BA,2207,1647
2912509,Ibipitanga,BA,2436,1852
2912608,Ibiquera,BA,582,482
2912707,Ibirapitanga,BA,2025,1530
2912806,Ibirapuã,BA,493,341
2912905,Ibirataia,BA,941,666
2913002,Ibitiara,BA,2178,1702
2913101,Ibititá,BA,2571,1948
2913200,Ibotirama,BA,1503,1185
2913309,Ichu,BA,514,375
2913408,Igaporã,BA,1410,1010
2913457,Igrapiúna,BA,2245,1783
2913507,Iguaí,BA,2013,1598
2913606,Ilhéus,BA,3559,2493
2913705,Inhambupe,BA,4151,2813
2913804,Ipecaetá,BA,3484,2777
2913903,Ipiaú,BA,866,608
2914000,Ipirá,BA,6199,4917
2914109,Ipupiara,BA,1066,899
2914208,Irajuba,BA,442,362
2914307,Iramaia,BA,945,657
2914406,Iraquara,BA,2987,2360
2914505,Irará,BA,3294,2864
2914604,Irecê,BA,800,604
2914653,Itabela,BA,660,363
2914703,Itaberaba,BA,2996,2178
2914802,Itabuna,BA,923,601
2914901,Itacaré,BA,2606,1965
2915007,Itaeté,BA,1437,1129
2915106,Itagi,BA,566,419
2915205,Itagibá,BA,956,617
2915304,Itagimirim,BA,236,152
2915353,Itaguaçu da Bahia,BA,1429,1028
2915403,Itaju do Colônia,BA,307,156
2915502,Itajuípe,BA,632,403
2915601,Itamaraju,BA,2213,1510
2915700,Itamari,BA,776,611
2915809,Itambé,BA,1436,881
2915908,Itanagra,BA,311,188
2916005,Itanhém,BA,1514,1158
2916104,Itaparica,BA,86,82
2916203,Itapé,BA,322,169
2916302,Itapebi,BA,242,137
2916401,Itapetinga,BA,672,276
2916500,Itapicuru,BA,5073,3581
2916609,Itapitanga,BA,323,250
2916708,Itaquara,BA,586,500
2916807,Itarantim,BA,926,450
2916856,Itatim,BA,708,464
2916906,Itiruçu,BA,614,445
2917003,Itiúba,BA,3432,3038
2917102,Itororó,BA,490,364
2917201,Ituaçu,BA,2652,1909
2917300,Ituberá,BA,1540,1413
2917334,Iuiu,BA,1096,821
2917359,Jaborandi,BA,1320,1137
2917409,Jacaraci,BA,2493,2123
2917508,Jacobina,BA,2294,1822
2917607,Jaguaquara,BA,2406,2003
2917706,Jaguarari,BA,2007,1657
2917805,Jaguaripe,BA,2067,1761
2917904,Jandaíra,BA,668,394
2918001,Jequié,BA,2657,1975
2918100,Jeremoabo,BA,4169,3529
2918209,Jiquiriçá,BA,2462,2019
2918308,Jitaúna,BA,1023,820
2918357,João Dourado,BA,1347,985
2918407,Juazeiro,BA,7288,4402
2918456,Jucuruçu,BA,1281,1009
