ibge7,municipio,uf,domicilios_total,domicilios_com_internet
1100015,Alta Floresta D'Oeste,RO,7699,6725
1100023,Ariquemes,RO,34739,30940
1100031,Cabixi,RO,1967,1807
1100049,Cacoal,RO,31930,29156
1100056,Cerejeiras,RO,5876,5324
1100064,Colorado do Oeste,RO,5991,5332
1100072,Corumbiara,RO,2841,2372
1100080,Costa Marques,RO,4161,3486
1100098,Espigão D'Oeste,RO,10475,9425
1100106,Guajará-Mirim,RO,11785,9668
1100114,Jaru,RO,19099,17113
1100122,Ji-Paraná,RO,45045,41273
1100130,Machadinho D'Oeste,RO,10841,8966
1100148,Nova Brasilândia D'Oeste,RO,5801,5071
1100155,Ouro Preto do Oeste,RO,13316,12245
1100189,Pimenta Bueno,RO,12353,11086
1100205,Porto Velho,RO,152077,136380
1100254,Presidente Médici,RO,7232,6486
1100262,Rio Crespo,RO,1245,1069
1100288,Rolim de Moura,RO,20998,19492
1100296,Santa Luzia D'Oeste,RO,2758,2406
1100304,Vilhena,RO,34983,31778
1100320,São Miguel do Guaporé,RO,7883,6893
1100338,Nova Mamoré,RO,8437,7334
1100346,Alvorada D'Oeste,RO,4819,4129
1100379,Alto Alegre dos Parecis,RO,4047,3434
1100403,Alto Paraíso,RO,5775,5016
1100452,Buritis,RO,9893,8705
1100502,Novo Horizonte do Oeste,RO,2796,2482
1100601,Cacaulândia,RO,1484,1262
1100700,Campo Novo de Rondônia,RO,3069,2709
1100809,Candeias do Jamari,RO,7442,5861
1100908,Castanheiras,RO,1197,1041
1100924,Chupinguaia,RO,3220,2858
1100940,Cujubim,RO,5227,4271
1101005,Governador Jorge Teixeira,RO,2883,2247
1101104,Itapuã do Oeste,RO,2911,2521
1101203,Ministro Andreazza,RO,2383,2130
1101302,Mirante da Serra,RO,3508,3161
1101401,Monte Negro,RO,4226,3630
1101435,Nova União,RO,2236,2059
1101450,Parecis,RO,1529,1282
1101468,Pimenteiras do Oeste,RO,743,615
1101476,Primavera de Rondônia,RO,1133,955
1101484,São Felipe D'Oeste,RO,1962,1760
1101492,São Francisco do Guaporé,RO,5799,5245
1101500,Seringueiras,RO,3949,3201
1101559,Teixeirópolis,RO,1582,1404
1101609,Theobroma,RO,3008,2515
1101708,Urupá,RO,3952,3514
1101757,Vale do Anari,RO,2812,2097
1101807,Vale do Paraíso,RO,2448,2041
1200013,Acrelândia,AC,4466,3602
1200054,Assis Brasil,AC,2424,1557
1200104,Brasiléia,AC,8621,6194
1200138,Bujari,AC,4193,2822
1200179,Capixaba,AC,3464,2226
1200203,Cruzeiro do Sul,AC,26701,20033
1200252,Epitaciolândia,AC,6472,5050
1200302,Feijó,AC,9351,4663
1200328,Jordão,AC,1999,958
1200336,Mâncio Lima,AC,5661,3250
1200344,Manoel Urbano,AC,3240,1719
1200351,Marechal Thaumaturgo,AC,4321,1865
1200385,Plácido de Castro,AC,5563,4197
1200393,Porto Walter,AC,2611,1411
1200401,Rio Branco,AC,123858,106384
1200427,Rodrigues Alves,AC,4194,2398
1200435,Santa Rosa do Purus,AC,1340,519
1200450,Senador Guiomard,AC,6952,5431
1200500,Sena Madureira,AC,12620,7894
1200609,Tarauacá,AC,11241,5076
1200708,Xapuri,AC,6098,3887
1200807,Porto Acre,AC,5446,3957
1300029,Alvarães,AM,3399,1678
1300060,Amaturá,AM,2153,1161
1300086,Anamã,AM,2307,1749
1300102,Anori,AM,4147,2875
1300144,Apuí,AM,5791,3346
1300201,Atalaia do Norte,AM,3390,1472
1300300,Autazes,AM,10994,7314
1300409,Barcelos,AM,4264,1992
1300508,Barreirinha,AM,6894,3765
1300607,Benjamin Constant,AM,7743,4446
1300631,Beruri,AM,4544,2834
1300680,Boa Vista do Ramos,AM,4590,2352
1300706,Boca do Acre,AM,10135,6654
1300805,Borba,AM,7990,4817
1300839,Caapiranga,AM,2960,2201
1300904,Canutama,AM,4556,2327
1301001,Carauari,AM,7221,4607
1301100,Careiro,AM,9056,5551
1301159,Careiro da Várzea,AM,5759,3624
1301209,Coari,AM,17545,10992
1301308,Codajás,AM,5534,3824
1301407,Eirunepé,AM,8133,4970
1301506,Envira,AM,4171,2325
1301605,Fonte Boa,AM,5341,2157
1301654,Guajará,AM,3608,2241
1301704,Humaitá,AM,14429,11516
1301803,Ipixuna,AM,4799,2014
1301852,Iranduba,AM,17742,13975
1301902,Itacoatiara,AM,27618,19262
1301951,Itamarati,AM,2334,1538
1302009,Itapiranga,AM,2598,1971
1302108,Japurá,AM,1734,1151
1302207,Juruá,AM,2529,1625
1302306,Jutaí,AM,4846,2346
1302405,Lábrea,AM,11262,7232
1302504,Manacapuru,AM,26901,19693
1302553,Manaquiri,AM,4964,2967
1302603,Manaus,AM,629888,561967
1302702,Manicoré,AM,12162,7330
1302801,Maraã,AM,3026,1405
1302900,Maués,AM,13276,6954
1303007,Nhamundá,AM,4579,2219
1303106,Nova Olinda do Norte,AM,6466,4089
1303205,Novo Airão,AM,4169,3070
1303304,Novo Aripuanã,AM,4779,2602
1303403,Parintins,AM,23890,17341
1303502,Pauini,AM,3965,1993
1303536,Presidente Figueiredo,AM,9397,7327
1303569,Rio Preto da Eva,AM,7800,5470
1303601,Santa Isabel do Rio Negro,AM,2742,775
1303700,Santo Antônio do Içá,AM,5257,2021
1303809,São Gabriel da Cachoeira,AM,10630,4625
1303908,São Paulo de Olivença,AM,6008,2665
1303957,São Sebastião do Uatumã,AM,2665,1856
1304005,Silves,AM,2825,1672
1304062,Tabatinga,AM,13831,7802
1304104,Tapauá,AM,4792,2149
1304203,Tefé,AM,17469,11455
1304237,Tonantins,AM,3381,1179
1304260,Uarini,AM,3053,1445
1304302,Urucará,AM,4277,2774
1304401,Urucurituba,AM,5174,3085
1400027,Amajari,RR,2999,1406
1400050,Alto Alegre,RR,5047,2580
1400100,Boa Vista,RR,119005,107776
1400159,Bonfim,RR,3495,1888
1400175,Cantá,RR,5437,3475
1400209,Caracaraí,RR,6091,3836
1400233,Caroebe,RR,3126,2384
1400282,Iracema,RR,2924,1688
1400308,Mucajaí,RR,5340,4009
1400407,Normandia,RR,2717,1255
1400456,Pacaraima,RR,3967,2565
1400472,Rorainópolis,RR,10050,7190
1400506,São João da Baliza,RR,2604,1975
1400605,São Luiz do Anauá,RR,2262,1531
1400704,Uiramutã,RR,2339,597
1500107,Abaetetuba,PA,43053,33574
1500131,Abel Figueiredo,PA,1999,1719
1500206,Acará,PA,17048,8438
1500305,Afuá,PA,9022,4567
1500347,Água Azul do Norte,PA,5604,4760
1500404,Alenquer,PA,17877,10502
1500503,Almeirim,PA,9121,6403
1500602,Altamira,PA,41176,34124
1500701,Anajás,PA,6400,3376
1500800,Ananindeua,PA,154835,137085
1500859,Anapu,PA,9344,7085
1500909,Augusto Corrêa,PA,12361,6199
1500958,Aurora do Pará,PA,6609,4040
1501006,Aveiro,PA,4651,2757
1501105,Bagre,PA,5752,2544
1501204,Baião,PA,12122,7091
1501253,Bannach,PA,1323,1028
1501303,Barcarena,PA,37976,31740
1501402,Belém,PA,422874,368081
1501451,Belterra,PA,5346,3968
1501501,Benevides,PA,20462,16915
1501576,Bom Jesus do Tocantins,PA,5099,3947
1501600,Bonito,PA,4218,2827
1501709,Bragança,PA,37069,26689
1501725,Brasil Novo,PA,7206,5030
1501758,Brejo Grande do Araguaia,PA,2132,1855
1501782,Breu Branco,PA,13531,10504
1501808,Breves,PA,24362,13203
1501907,Bujaru,PA,7110,3200
1501956,Cachoeira do Piriá,PA,5633,3597
1502004,Cachoeira do Arari,PA,6539,3579
1502103,Cametá,PA,33267,21492
1502152,Canaã dos Carajás,PA,24387,22719
1502202,Capanema,PA,23052,18387
1502301,Capitão Poço,PA,18186,12443
1502400,Castanhal,PA,63817,54283
1502509,Chaves,PA,4749,2468
1502608,Colares,PA,3992,2664
1502707,Conceição do Araguaia,PA,15170,12811
1502756,Concórdia do Pará,PA,7982,5108
1502764,Cumaru do Norte,PA,3844,2769
1502772,Curionópolis,PA,6424,5486
1502806,Curralinho,PA,8147,4293
1502855,Curuá,PA,3909,2827
1502905,Curuçá,PA,12112,8026
1502939,Dom Eliseu,PA,15368,13103
1502954,Eldorado do Carajás,PA,8882,7659
1503002,Faro,PA,2096,1427
1503044,Floresta do Araguaia,PA,5975,4532
1503077,Garrafão do Norte,PA,7718,5355
1503093,Goianésia do Pará,PA,8279,6413
1503101,Gurupá,PA,7376,4538
1503200,Igarapé-Açu,PA,11538,7100
1503309,Igarapé-Miri,PA,16880,11154
1503408,Inhangapi,PA,3207,2088
1503457,Ipixuna do Pará,PA,8758,5729
1503507,Irituia,PA,9565,6121
1503606,Itaituba,PA,36402,31100
1503705,Itupiranga,PA,13765,10245
1503754,Jacareacanga,PA,5100,2776
1503804,Jacundá,PA,12613,10025
1503903,Juruti,PA,12311,7967
1504000,Limoeiro do Ajuru,PA,7172,4054
1504059,Mãe do Rio,PA,9898,7214
1504109,Magalhães Barata,PA,2485,1540
1504208,Marabá,PA,85966,74982
1504307,Maracanã,PA,7722,4513
1504406,Marapanim,PA,8371,4782
1504422,Marituba,PA,35873,30405
1504455,Medicilândia,PA,8938,6247
1504505,Melgaço,PA,5736,2244
1504604,Mocajuba,PA,6843,4553
1504703,Moju,PA,25016,13946
1504752,Mojuí dos Campos,PA,7478,4771
1504802,Monte Alegre,PA,18338,12065
1504901,Muaná,PA,10651,5987
1504950,Nova Esperança do Piriá,PA,6027,3573
1504976,Nova Ipixuna,PA,4582,2549
1505007,Nova Timboteua,PA,4560,2949
1505031,Novo Progresso,PA,10443,8603
1505064,Novo Repartimento,PA,18541,13867
1505106,Óbidos,PA,14514,8921
1505205,Oeiras do Pará,PA,8044,4563
1505304,Oriximiná,PA,17965,12297
1505403,Ourém,PA,5760,4011
1505437,Ourilândia do Norte,PA,10367,9102
1505486,Pacajá,PA,12479,8044
1505494,Palestina do Pará,PA,2201,1796
1505502,Paragominas,PA,33028,27692
1505536,Parauapebas,PA,87654,80192
1505551,Pau D'Arco,PA,2226,1687
1505601,Peixe-Boi,PA,2949,1903
1505635,Piçarra,PA,4074,3387
1505650,Placas,PA,5886,4020
1505700,Ponta de Pedras,PA,7091,3804
1505809,Portel,PA,13295,7128
1505908,Porto de Moz,PA,9078,5559
1506005,Prainha,PA,9206,5467
1506104,Primavera,PA,3522,2327
1506112,Quatipuru,PA,3645,2352
1506138,Redenção,PA,28030,25042
1506161,Rio Maria,PA,6506,5518
1506187,Rondon do Pará,PA,15274,11369
1506195,Rurópolis,PA,9092,7306
1506203,Salinópolis,PA,13506,11009
1506302,Salvaterra,PA,7399,5158
1506351,Santa Bárbara do Pará,PA,6790,5073
1506401,Santa Cruz do Arari,PA,1760,889
1506500,Santa Izabel do Pará,PA,21505,16594
1506559,Santa Luzia do Pará,PA,6306,4040
1506583,Santa Maria das Barreiras,PA,5426,4632
1506609,Santa Maria do Pará,PA,8433,5611
1506708,Santana do Araguaia,PA,10532,8973
1506807,Santarém,PA,95605,79270
1506906,Santarém Novo,PA,1958,1295
1507003,Santo Antônio do Tauá,PA,8816,6243
1507102,São Caetano de Odivelas,PA,5178,3572
1507151,São Domingos do Araguaia,PA,6807,5452
1507201,São Domingos do Capim,PA,8465,4255
1507300,São Félix do Xingu,PA,20831,16840
1507409,São Francisco do Pará,PA,4955,3241
1507458,São Geraldo do Araguaia,PA,7711,6758
1507466,São João da Ponta,PA,1457,764
1507474,São João de Pirabas,PA,6551,4147
1507508,São João do Araguaia,PA,4401,3007
1507607,São Miguel do Guamá,PA,16388,11528
1507706,São Sebastião da Boa Vista,PA,6560,4208
1507755,Sapucaia,PA,1772,1514
1507805,Senador José Porfírio,PA,6478,3849
1507904,Soure,PA,7084,4841
1507953,Tailândia,PA,21567,17625
1507961,Terra Alta,PA,3359,2297
1507979,Terra Santa,PA,4996,4066
1508001,Tomé-Açu,PA,19816,13046
1508035,Tracuateua,PA,8729,4642
1508050,Trairão,PA,4691,3504
1508084,Tucumã,PA,12826,11378
1508100,Tucuruí,PA,27396,23749
1508126,Ulianópolis,PA,9699,8375
1508159,Uruará,PA,14272,10021
1508209,Vigia,PA,15810,12066
1508308,Viseu,PA,16237,8361
1508357,Vitória do Xingu,PA,4906,3715
1508407,Xinguara,PA,17897,15885
1600055,Serra do Navio,AP,1361,1181
1600105,Amapá,AP,2073,1502
1600154,Pedra Branca do Amapari,AP,3275,2359
1600204,Calçoene,AP,2786,2177
1600212,Cutias,AP,1155,755
1600238,Ferreira Gomes,AP,1790,1420
1600253,Itaubal,AP,1365,959
1600279,Laranjal do Jari,AP,10328,8487
1600303,Macapá,AP,123412,109933
1600402,Mazagão,AP,5311,3367
1600501,Oiapoque,AP,7024,5022
1600535,Porto Grande,AP,5000,4018
1600550,Pracuúba,AP,910,628
1600600,Santana,AP,28779,24985
1600709,Tartarugalzinho,AP,3326,2303
1600808,Vitória do Jari,AP,3006,2207
1700251,Abreulândia,TO,924,726
1700301,Aguiarnópolis,TO,1441,1196
1700350,Aliança do Tocantins,TO,1852,1438
1700400,Almas,TO,2078,1519
1700707,Alvorada,TO,3125,2829
1701002,Ananás,TO,3179,2552
1701051,Angico,TO,891,741
1701101,Aparecida do Rio Negro,TO,1661,1300
1701309,Aragominas,TO,1837,1360
1701903,Araguacema,TO,2063,1566
1702000,Araguaçu,TO,3045,2585
1702109,Araguaína,TO,57630,51552
1702158,Araguanã,TO,1468,988
1702208,Araguatins,TO,10155,8220
1702307,Arapoema,TO,1961,1605
1702406,Arraias,TO,3730,2392
1702554,Augustinópolis,TO,5658,4851
1702703,Aurora do Tocantins,TO,1275,924
1702901,Axixá do Tocantins,TO,2916,2502
1703008,Babaçulândia,TO,2681,1698
1703057,Bandeirantes do Tocantins,TO,1158,868
1703073,Barra do Ouro,TO,1364,920
1703107,Barrolândia,TO,1754,1320
1703206,Bernardo Sayão,TO,1523,1320
1703305,Bom Jesus do Tocantins,TO,1338,926
1703602,Brasilândia do Tocantins,TO,689,591
1703701,Brejinho de Nazaré,TO,1711,1231
1703800,Buriti do Tocantins,TO,2852,2131
1703826,Cachoeirinha,TO,638,475
1703842,Campos Lindos,TO,2423,1819
1703867,Cariri do Tocantins,TO,1281,987
1703883,Carmolândia,TO,749,615
1703891,Carrasco Bonito,TO,1012,708
1703909,Caseara,TO,1634,1121
1704105,Centenário,TO,772,517
1704600,Chapada de Areia,TO,564,349
1705102,Chapada da Natividade,TO,1028,625
1705508,Colinas do Tocantins,TO,11813,10630
1705557,Combinado,TO,1740,1464
1705607,Conceição do Tocantins,TO,1295,896
1706001,Couto Magalhães,TO,1847,1237
1706100,Cristalândia,TO,2344,1871
1706258,Crixás do Tocantins,TO,508,422
1706506,Darcinópolis,TO,1988,1468
1707009,Dianópolis,TO,5817,4843
1707108,Divinópolis do Tocantins,TO,2530,2055
1707207,Dois Irmãos do Tocantins,TO,2290,1665
1707306,Dueré,TO,1623,1198
1707405,Esperantina,TO,2318,1692
1707553,Fátima,TO,1193,972
1707652,Figueirópolis,TO,1948,1607
1707702,Filadélfia,TO,2558,1764
1708205,Formoso do Araguaia,TO,6457,5672
1708254,Tabocão,TO,1146,984
1708304,Goianorte,TO,1691,1182
1709005,Goiatins,TO,3701,2334
1709302,Guaraí,TO,8837,7282
1709500,Gurupi,TO,30617,27601
1709807,Ipueiras,TO,562,304
1710508,Itacajá,TO,2161,1463
1710706,Itaguatins,TO,1744,1172
1710904,Itapiratins,TO,1276,1008
1711100,Itaporã do Tocantins,TO,823,735
1711506,Jaú do Tocantins,TO,1238,997
1711803,Juarina,TO,737,584
1711902,Lagoa da Confusão,TO,4806,4252
1711951,Lagoa do Tocantins,TO,1068,665
1712009,Lajeado,TO,1163,1056
1712157,Lavandeira,TO,586,420
1712405,Lizarda,TO,990,598
1712454,Luzinópolis,TO,869,701
1712504,Marianópolis do Tocantins,TO,1594,1235
1712702,Mateiros,TO,812,635
1712801,Maurilândia do Tocantins,TO,997,677
1713205,Miracema do Tocantins,TO,6355,5171
1713304,Miranorte,TO,4399,3724
1713601,Monte do Carmo,TO,1931,1298
1713700,Monte Santo do Tocantins,TO,880,693
1713809,Palmeiras do Tocantins,TO,1554,1303
1713957,Muricilândia,TO,1178,837
1714203,Natividade,TO,3063,2402
1714302,Nazaré,TO,1532,1155
1714880,Nova Olinda,TO,3522,2895
1715002,Nova Rosalândia,TO,1167,892
1715101,Novo Acordo,TO,1336,899
1715150,Novo Alegre,TO,718,583
1715259,Novo Jardim,TO,707,434
1715507,Oliveira de Fátima,TO,398,316
1715705,Palmeirante,TO,1665,1135
1715754,Palmeirópolis,TO,2527,2125
1716109,Paraíso do Tocantins,TO,18258,15632
1716208,Paranã,TO,3661,2239
1716307,Pau D'Arco,TO,1373,1053
1716505,Pedro Afonso,TO,4744,3940
1716604,Peixe,TO,3412,2787
1716653,Pequizeiro,TO,1706,1339
1716703,Colméia,TO,3199,2512
1717008,Pindorama do Tocantins,TO,1489,903
1717206,Piraquê,TO,793,466
1717503,Pium,TO,2370,1762
1717800,Ponte Alta do Bom Jesus,TO,1581,1072
1717909,Ponte Alta do Tocantins,TO,2496,1529
1718006,Porto Alegre do Tocantins,TO,923,722
1718204,Porto Nacional,TO,21358,18249
1718303,Praia Norte,TO,2457,2074
1718402,Presidente Kennedy,TO,1064,817
1718451,Pugmil,TO,784,679
1718501,Recursolândia,TO,1041,517
1718550,Riachinho,TO,1261,980
1718659,Rio da Conceição,TO,569,472
1718709,Rio dos Bois,TO,961,732
1718758,Rio Sono,TO,1664,1150
1718808,Sampaio,TO,1253,979
1718840,Sandolândia,TO,1308,1119
1718865,Santa Fé do Araguaia,TO,2363,1917
1718881,Santa Maria do Tocantins,TO,921,663
1718899,Santa Rita do Tocantins,TO,779,672
1718907,Santa Rosa do Tocantins,TO,1566,1091
1719004,Santa Tereza do Tocantins,TO,853,636
1720002,Santa Terezinha do Tocantins,TO,791,630
1720101,São Bento do Tocantins,TO,1705,1219
1720150,São Félix do Tocantins,TO,550,468
1720200,São Miguel do Tocantins,TO,4060,3458
1720259,São Salvador do Tocantins,TO,859,654
1720309,São Sebastião do Tocantins,TO,1235,1037
1720499,São Valério,TO,1691,1261
1720655,Silvanópolis,TO,1728,1390
1720804,Sítio Novo do Tocantins,TO,3261,2569
1720853,Sucupira,TO,591,485
1720903,Taguatinga,TO,5006,3472
1720937,Taipas do Tocantins,TO,680,441
1720978,Talismã,TO,918,758
1721000,Palmas,TO,106015,99470
1721109,Tocantínia,TO,2003,1298
1721208,Tocantinópolis,TO,7387,5739
1721257,Tupirama,TO,658,491
1721307,Tupiratins,TO,672,415
1722081,Wanderlândia,TO,3538,2705
1722107,Xambioá,TO,3503,2730
2100055,Açailândia,MA,34336,29967
2100105,Afonso Cunha,MA,1696,1031
2100154,Água Doce do Maranhão,MA,3546,2685
2100204,Alcântara,MA,6276,3570
2100303,Aldeias Altas,MA,6666,4055
2100402,Altamira do Maranhão,MA,1951,1431
2100436,Alto Alegre do Maranhão,MA,7548,5155
2100477,Alto Alegre do Pindaré,MA,7403,5825
2100501,Alto Parnaíba,MA,3384,2348
2100550,Amapá do Maranhão,MA,2025,1577
2100600,Amarante do Maranhão,MA,10859,6927
2100709,Anajatuba,MA,8159,5423
2100808,Anapurus,MA,3992,2540
2100832,Apicum-Açu,MA,5040,3659
2100873,Araguanã,MA,3213,2185
2100907,Araioses,MA,11983,7432
2100956,Arame,MA,7149,3754
2101004,Arari,MA,8964,6119
2101103,Axixá,MA,3342,2552
2101202,Bacabal,MA,32999,27477
2101251,Bacabeira,MA,5292,3790
2101301,Bacuri,MA,5124,2898
2101350,Bacurituba,MA,1743,946
2101400,Balsas,MA,30814,27548
2101509,Barão de Grajaú,MA,6234,5051
2101608,Barra do Corda,MA,27096,20982
2101707,Barreirinhas,MA,17943,12139
2101731,Belágua,MA,2070,983
2101772,Bela Vista do Maranhão,MA,3490,2748
2101806,Benedito Leite,MA,1761,1209
2101905,Bequimão,MA,6689,4076
2101939,Bernardo do Mearim,MA,1803,1252
2101970,Boa Vista do Gurupi,MA,2147,1613
2102002,Bom Jardim,MA,9769,7268
2102036,Bom Jesus das Selvas,MA,8239,6108
2102077,Bom Lugar,MA,3563,2708
2102101,Brejo,MA,9626,7476
2102150,Brejo de Areia,MA,2543,1775
2102200,Buriti,MA,8093,4526
2102309,Buriti Bravo,MA,6654,4552
2102325,Buriticupu,MA,16336,12604
2102358,Buritirana,MA,4118,3301
2102374,Cachoeira Grande,MA,2686,1308
2102408,Cajapió,MA,3145,2014
2102507,Cajari,MA,4911,2993
2102556,Campestre do Maranhão,MA,3844,2963
2102606,Cândido Mendes,MA,5687,3821
2102705,Cantanhede,MA,6026,3840
2102754,Capinzal do Norte,MA,3577,2664
2102804,Carolina,MA,7794,6142
2102903,Carutapera,MA,7067,5211
2103000,Caxias,MA,48193,37461
2103109,Cedral,MA,3205,2181
2103125,Central do Maranhão,MA,2213,1411
2103158,Centro do Guilherme,MA,3284,2223
2103174,Centro Novo do Maranhão,MA,4511,3372
2103208,Chapadinha,MA,23970,15996
2103257,Cidelândia,MA,4144,3170
2103307,Codó,MA,34909,23794
2103406,Coelho Neto,MA,11916,8637
2103505,Colinas,MA,12484,8853
2103554,Conceição do Lago-Açu,MA,4103,2823
2103604,Coroatá,MA,18889,12803
2103703,Cururupu,MA,10019,6669
2103752,Davinópolis,MA,4567,3731
2103802,Dom Pedro,MA,7297,6274
2103901,Duque Bacelar,MA,2744,1827
2104008,Esperantinópolis,MA,5625,3925
2104057,Estreito,MA,10770,9288
2104073,Feira Nova do Maranhão,MA,2484,2016
2104081,Fernando Falcão,MA,2665,1415
2104099,Formosa da Serra Negra,MA,5127,4037
2104107,Fortaleza dos Nogueiras,MA,3901,2993
2104206,Fortuna,MA,5132,4117
2104305,Godofredo Viana,MA,3137,2557
2104404,Gonçalves Dias,MA,5344,4050
2104503,Governador Archer,MA,2968,2249
2104552,Governador Edison Lobão,MA,5948,5006
2104602,Governador Eugênio Barros,MA,4351,3618
2104628,Governador Luiz Rocha,MA,2186,1434
2104651,Governador Newton Bello,MA,2805,1936
2104677,Governador Nunes Freire,MA,6740,5352
2104701,Graça Aranha,MA,1979,1655
2104800,Grajaú,MA,21762,15987
2104909,Guimarães,MA,3511,2401
2105005,Humberto de Campos,MA,7000,3184
2105104,Icatu,MA,6916,3622
2105153,Igarapé do Meio,MA,4037,3119
2105203,Igarapé Grande,MA,3222,2475
2105302,Imperatriz,MA,90451,81271
2105351,Itaipava do Grajaú,MA,3812,2742
2105401,Itapecuru Mirim,MA,18845,12714
2105427,Itinga do Maranhão,MA,7291,5933
2105450,Jatobá,MA,2274,1677
2105476,Jenipapo dos Vieiras,MA,4679,2027
2105500,João Lisboa,MA,7622,6474
2105609,Joselândia,MA,4466,3396
2105658,Junco do Maranhão,MA,1501,1215
2105708,Lago da Pedra,MA,13489,10881
2105807,Lago do Junco,MA,2871,2321
2105906,Lago Verde,MA,4305,2737
2105922,Lagoa do Mato,MA,3169,2205
2105948,Lago dos Rodrigues,MA,2785,2223
2105963,Lagoa Grande do Maranhão,MA,3368,2565
2105989,Lajeado Novo,MA,2342,1727
2106003,Lima Campos,MA,3660,2745
2106102,Loreto,MA,3204,2566
2106201,Luís Domingues,MA,2117,1541
2106300,Magalhães de Almeida,MA,4218,3138
2106326,Maracaçumé,MA,6007,4789
2106359,Marajá do Sena,MA,1919,940
2106375,Maranhãozinho,MA,3326,2080
2106409,Mata Roma,MA,4807,2881
2106508,Matinha,MA,6793,4494
2106607,Matões,MA,9363,6668
2106631,Matões do Norte,MA,3903,2664
2106672,Milagres do Maranhão,MA,2366,1408
2106706,Mirador,MA,6227,3986
2106755,Miranda do Norte,MA,6595,4803
2106805,Mirinzal,MA,4534,2848
2106904,Monção,MA,7958,4947
2107001,Montes Altos,MA,2890,2060
2107100,Morros,MA,5181,2625
2107209,Nina Rodrigues,MA,3529,2359
2107258,Nova Colinas,MA,1470,1142
2107308,Nova Iorque,MA,1336,1001
2107357,Nova Olinda do Maranhão,MA,4300,3062
2107407,Olho d'Água das Cunhãs,MA,5668,4600
2107456,Olinda Nova do Maranhão,MA,4162,3019
2107506,Paço do Lumiar,MA,47868,41809
2107605,Palmeirândia,MA,6059,3373
2107704,Paraibano,MA,5879,4596
2107803,Parnarama,MA,9450,6536
2107902,Passagem Franca,MA,5296,3408
2108009,Pastos Bons,MA,5708,4092
2108058,Paulino Neves,MA,4419,3274
2108108,Paulo Ramos,MA,5959,4856
2108207,Pedreiras,MA,12105,10190
2108256,Pedro do Rosário,MA,6932,3515
2108306,Penalva,MA,9684,6487
2108405,Peri Mirim,MA,3783,1928
2108454,Peritoró,MA,6194,4222
2108504,Pindaré-Mirim,MA,9437,6999
2108603,Pinheiro,MA,26088,19243
2108702,Pio XII,MA,6525,4934
2108801,Pirapemas,MA,5243,3106
2108900,Poção de Pedras,MA,5706,4226
2109007,Porto Franco,MA,7802,6321
2109056,Porto Rico do Maranhão,MA,1871,1097
2109106,Presidente Dutra,MA,14348,11822
2109205,Presidente Juscelino,MA,3154,1692
2109239,Presidente Médici,MA,1388,851
2109270,Presidente Sarney,MA,4940,3076
2109304,Presidente Vargas,MA,3108,1639
2109403,Primeira Cruz,MA,3606,1662
2109452,Raposa,MA,9504,7906
2109502,Riachão,MA,7152,5646
2109551,Ribamar Fiquene,MA,2430,2086
2109601,Rosário,MA,12117,8834
2109700,Sambaíba,MA,1679,1085
2109759,Santa Filomena do Maranhão,MA,1999,1424
2109809,Santa Helena,MA,11021,7482
2109908,Santa Inês,MA,26869,22614
2110005,Santa Luzia,MA,17021,13446
2110039,Santa Luzia do Paruá,MA,7128,5479
2110104,Santa Quitéria do Maranhão,MA,6485,4620
2110203,Santa Rita,MA,11288,7133
2110237,Santana do Maranhão,MA,2953,1769
2110278,Santo Amaro do Maranhão,MA,3555,1980
2110302,Santo Antônio dos Lopes,MA,4368,3581
2110401,São Benedito do Rio Preto,MA,5026,2781
2110500,São Bento,MA,11904,8004
2110609,São Bernardo,MA,7750,5832
2110658,São Domingos do Azeitão,MA,2250,1733
2110708,São Domingos do Maranhão,MA,10775,8436
2110807,São Félix de Balsas,MA,1417,915
2110856,São Francisco do Brejão,MA,2840,2331
2110906,São Francisco do Maranhão,MA,3809,2490
2111003,São João Batista,MA,5907,3134
2111029,São João do Carú,MA,3316,2342
2111052,São João do Paraíso,MA,3207,2502
2111078,São João do Soter,MA,5136,3754
2111102,São João dos Patos,MA,8264,6259
2111201,São José de Ribamar,MA,81064,70938
2111250,São José dos Basílios,MA,2102,1763
2111300,São Luís,MA,348484,308801
2111409,São Luís Gonzaga do Maranhão,MA,5558,3361
2111508,São Mateus do Maranhão,MA,11966,9143
2111532,São Pedro da Água Branca,MA,3936,3201
2111573,São Pedro dos Crentes,MA,1711,1364
2111607,São Raimundo das Mangabeiras,MA,5790,4493
2111631,São Raimundo do Doca Bezerra,MA,1685,1242
2111672,São Roberto,MA,1363,1029
2111706,São Vicente Ferrer,MA,6235,4021
2111722,Satubinha,MA,2452,1812
2111748,Senador Alexandre Costa,MA,3028,2309
2111763,Senador La Rocque,MA,4614,3567
2111789,Serrano do Maranhão,MA,3149,1636
2111805,Sítio Novo,MA,5199,4027
2111904,Sucupira do Norte,MA,3130,2162
2111953,Sucupira do Riachão,MA,1566,1048
2112001,Tasso Fragoso,MA,2636,1773
2112100,Timbiras,MA,7576,4827
2112209,Timon,MA,54182,45409
2112233,Trizidela do Vale,MA,7268,5759
2112274,Tufilândia,MA,1567,1179
2112308,Tuntum,MA,11371,8174
2112407,Turiaçu,MA,10209,6200
2112456,Turilândia,MA,7213,4966
2112506,Tutóia,MA,14744,10858
2112605,Urbano Santos,MA,8601,5103
2112704,Vargem Grande,MA,12884,7784
